index,timestamp,epoch,button,x,y
1,17:46:45,1773922605.4480388,left,719,799
2,17:46:49,1773922609.3090172,left,852,846
3,17:46:50,1773922610.3598604,left,749,612
4,17:46:52,1773922612.9555478,left,567,793
5,17:47:12,1773922632.3909695,left,994,833
6,17:47:54,1773922674.2679918,left,455,844
7,17:47:58,1773922678.5317676,left,524,289
8,17:48:00,1773922680.8370585,left,535,800
9,17:48:19,1773922699.8435273,left,993,843
10,17:48:58,1773922738.1989765,left,283,192
11,17:49:10,1773922750.021509,left,153,351
12,17:49:42,1773922782.441167,left,1173,125
13,17:49:46,1773922786.6675384,left,1168,239
